x,y,z
0.001949318, 0.5255483, 0.01559454
0.001949318, 0.5253347, 0.01754386
0.001949318, 0.5256925, 0.0331384
0.001949318, 0.5253129, 0.05653021
0.001949318, 0.524897, 0.07797271
0.001949318, 0.5250599, 0.1150097
0.001949318, 0.5271617, 0.1442495
0.001949318, 0.5288651, 0.202729
0.001949318, 0.5288228, 0.2046784
0.001949318, 0.5258737, 0.2222222
0.001949318, 0.5252841, 0.2319688
0.001949318, 0.5247651, 0.2709552
0.001949318, 0.522136, 0.288499
0.001949318, 0.524753, 0.3508772
0.001949318, 0.5262028, 0.380117
0.001949318, 0.528288, 0.5302144
0.001949318, 0.5237745, 0.5984405
0.001949318, 0.5248429, 0.6920078
0.001949318, 0.5274367, 0.748538
0.001949318, 0.5273594, 0.7699805
0.001949318, 0.5263706, 0.82846
0.001949318, 0.5276311, 0.8421053
0.001949318, 0.5267995, 0.883041
0.001949318, 0.5265892, 0.8888889
0.001949318, 0.5272146, 0.9434698
0.001949318, 0.5254209, 0.9844055
0.001949318, 0.5245985, 0.9961014
0.003898636, 0.5252669, 0.02923977
0.003898636, 0.5254331, 0.0545809
0.003898636, 0.5256393, 0.09941521
0.003898636, 0.525434, 0.122807
0.003898636, 0.5269501, 0.1559454
0.003898636, 0.5257816, 0.1637427
0.003898636, 0.5242496, 0.3118908
0.003898636, 0.5272198, 0.3859649
0.003898636, 0.527553, 0.3898636
0.003898636, 0.5290076, 0.4346979
0.003898636, 0.5243076, 0.4814815
0.003898636, 0.5279388, 0.5009747
0.003898636, 0.5283347, 0.5302144
0.003898636, 0.5279084, 0.5321637
0.003898636, 0.5256951, 0.5477583
0.003898636, 0.5246868, 0.5555556
0.003898636, 0.5242534, 0.5614035
0.003898636, 0.5241544, 0.5672514
0.003898636, 0.5243296, 0.5847953
0.003898636, 0.5239269, 0.5964912
0.003898636, 0.5274143, 0.6296296
0.003898636, 0.5241326, 0.6588694
0.003898636, 0.5246804, 0.6744639
0.003898636, 0.5248322, 0.6803119
0.003898636, 0.5285432, 0.7602339
0.003898636, 0.5273168, 0.9376218
0.003898636, 0.5255159, 0.9727095
0.003898636, 0.5244462, 0.9961014
0.005847953, 0.5256714, 0.01559454
0.005847953, 0.5252126, 0.01949318
0.005847953, 0.5255059, 0.08966862
0.005847953, 0.5280495, 0.1949318
0.005847953, 0.5259793, 0.2436647
0.005847953, 0.52522, 0.3352827
0.005847953, 0.5286856, 0.4327485
0.005847953, 0.5243244, 0.582846
0.005847953, 0.5263387, 0.6159844
0.005847953, 0.5250462, 0.6939571
0.005847953, 0.525025, 0.6959065
0.005847953, 0.525354, 0.7095516
0.005847953, 0.5272686, 0.8323587
0.005847953, 0.5274855, 0.8460039
0.005847953, 0.5259467, 0.8927875
0.005847953, 0.5260826, 0.9532164
0.005847953, 0.5243545, 0.9961014
0.007797271, 0.5257327, 0.01559454
0.007797271, 0.5257888, 0.04288499
0.007797271, 0.5259832, 0.1832359
0.007797271, 0.5267943, 0.2183236
0.007797271, 0.5242554, 0.2690058
0.007797271, 0.5216253, 0.294347
0.007797271, 0.5224394, 0.3021443
0.007797271, 0.525189, 0.3352827
0.007797271, 0.5276728, 0.3976608
0.007797271, 0.5300723, 0.4405458
0.007797271, 0.5301161, 0.4463938
0.007797271, 0.5241266, 0.6471735
0.007797271, 0.5290682, 0.7582846
0.007797271, 0.5244554, 0.7894737
0.007797271, 0.5240986, 0.7992203
0.007797271, 0.5270683, 0.9415205
0.007797271, 0.5258185, 0.9766082
0.009746589, 0.5259727, 0.1111111
0.009746589, 0.5269455, 0.1306043
0.009746589, 0.52762, 0.1364522
0.009746589, 0.5254014, 0.1793372
0.009746589, 0.5260914, 0.2339181
0.009746589, 0.5227531, 0.3079922
0.009746589, 0.525096, 0.3528265
0.009746589, 0.5276728, 0.3996101
0.009746589, 0.5273131, 0.4230019
0.009746589, 0.53025, 0.5204678
0.009746589, 0.5247227, 0.6432748
0.009746589, 0.5231165, 0.6608187
0.009746589, 0.5231573, 0.662768
0.009746589, 0.5237656, 0.6705653
0.009746589, 0.5291428, 0.7524366
0.009746589, 0.5265018, 0.877193
0.009746589, 0.5258431, 0.9551657
0.009746589, 0.5246875, 0.9941521
0.01169591, 0.5249386, 0.0214425
0.01169591, 0.5253051, 0.05653021
0.01169591, 0.5251127, 0.07602339
0.01169591, 0.5258679, 0.1851852
0.01169591, 0.5215561, 0.2826511
0.01169591, 0.526734, 0.5360624
0.01169591, 0.5259109, 0.6023392
0.01169591, 0.5233154, 0.6510721
0.01169591, 0.5239705, 0.797271
0.01169591, 0.5247249, 0.8070176
0.01169591, 0.526417, 0.883041
0.01169591, 0.5237935, 0.9122807
0.01169591, 0.5239816, 0.91423
0.01169591, 0.5259271, 0.9278752
0.01169591, 0.5266162, 0.9395711
0.01364522, 0.5248408, 0.03118908
0.01364522, 0.5252367, 0.06822612
0.01364522, 0.5254735, 0.07992203
0.01364522, 0.527534, 0.1345029
0.01364522, 0.5242235, 0.2651072
0.01364522, 0.5214273, 0.2904483
0.01364522, 0.5255728, 0.3469785
0.01364522, 0.5271413, 0.3781676
0.01364522, 0.5275224, 0.4210526
0.01364522, 0.5297865, 0.508772
0.01364522, 0.5277737, 0.5302144
0.01364522, 0.5249616, 0.5750487
0.01364522, 0.5271558, 0.6101364
0.01364522, 0.5272848, 0.6120858
0.01364522, 0.52292, 0.6569201
0.01364522, 0.5253407, 0.711501
0.01364522, 0.5261522, 0.9493178
0.01364522, 0.5244735, 0.9980507
0.01559454, 0.525643, 0.01559454
0.01559454, 0.5255722, 0.05068226
0.01559454, 0.5255104, 0.0662768
0.01559454, 0.5255977, 0.07797271
0.01559454, 0.5277835, 0.1384016
0.01559454, 0.5273413, 0.2163743
0.01559454, 0.5269976, 0.2222222
0.01559454, 0.5261618, 0.2534113
0.01559454, 0.5235306, 0.2690058
0.01559454, 0.5258156, 0.3528265
0.01559454, 0.5280436, 0.3898636
0.01559454, 0.5280721, 0.3976608
0.01559454, 0.5293847, 0.4405458
0.01559454, 0.5265512, 0.6003898
0.01559454, 0.527066, 0.6276803
0.01559454, 0.5259752, 0.7017544
0.01559454, 0.5252622, 0.711501
0.01559454, 0.5290967, 0.7621832
0.01559454, 0.5264925, 0.8693957
0.01559454, 0.5262267, 0.883041
0.01559454, 0.5232784, 0.9122807
0.01559454, 0.5259705, 0.9512671
0.01559454, 0.526186, 0.9707602
0.01754386, 0.5278989, 0.001949318
0.01754386, 0.5257539, 0.05847953
0.01754386, 0.5257546, 0.06432749
0.01754386, 0.5258718, 0.07992203
0.01754386, 0.5268844, 0.1189084
0.01754386, 0.5279501, 0.1461988
0.01754386, 0.5268876, 0.1637427
0.01754386, 0.5274462, 0.2124756
0.01754386, 0.523102, 0.3118908
0.01754386, 0.5231939, 0.3138402
0.01754386, 0.5255836, 0.3352827
0.01754386, 0.5287634, 0.4502924
0.01754386, 0.5274639, 0.465887
0.01754386, 0.5267902, 0.4717349
0.01754386, 0.5254051, 0.582846
0.01754386, 0.523831, 0.797271
0.01754386, 0.527785, 0.8265107
0.01754386, 0.5257665, 0.9376218
0.01949318, 0.5260552, 0.07992203
0.01949318, 0.5263249, 0.08576998
0.01949318, 0.527622, 0.1578947
0.01949318, 0.5262322, 0.3567252
0.01949318, 0.5276816, 0.460039
0.01949318, 0.5260031, 0.4795322
0.01949318, 0.5293055, 0.5146199
0.01949318, 0.5247931, 0.545809
0.01949318, 0.5246953, 0.5594542
0.01949318, 0.527483, 0.6179338
0.01949318, 0.5270054, 0.6237817
0.01949318, 0.5257334, 0.6354776
0.01949318, 0.5261961, 0.6803119
0.01949318, 0.5262241, 0.7017544
0.01949318, 0.5257268, 0.7251462
0.01949318, 0.5290942, 0.7465887
0.01949318, 0.5265848, 0.8654971
0.01949318, 0.5266762, 0.8693957
0.01949318, 0.5233759, 0.9161794
0.01949318, 0.5260955, 0.9649123
0.01949318, 0.5261869, 0.9668616
0.01949318, 0.52575, 0.9961014
0.0214425, 0.5259346, 0.0545809
0.0214425, 0.5260574, 0.05847953
0.0214425, 0.5261214, 0.07017544
0.0214425, 0.5270682, 0.1384016
0.0214425, 0.5245951, 0.1812865
0.0214425, 0.525807, 0.1949318
0.0214425, 0.5262393, 0.1988304
0.0214425, 0.5270942, 0.2319688
0.0214425, 0.5244178, 0.2651072
0.0214425, 0.5225237, 0.288499
0.0214425, 0.5235576, 0.2982456
0.0214425, 0.5237138, 0.3060429
